序号,传输方向,时间标识,名称,帧ID(靠右对齐),帧格式,帧类型,数据长度,数据(HEX)
0,接收,14:21:22:263,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
1,接收,14:21:22:513,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
2,接收,14:21:22:513,,0x1cec56f4,数据帧,扩展帧,08,10 29 00 06 ff 00 02 00 
3,接收,14:21:22:513,,0x1cecf456,数据帧,扩展帧,08,11 06 01 ff ff 00 02 00 
4,接收,14:21:22:513,,0x1ceb56f4,数据帧,扩展帧,08,01 00 01 00 06 a6 04 18 
5,接收,14:21:22:523,,0x1ceb56f4,数据帧,扩展帧,08,02 0c 4b 4c 49 45 01 00 
6,接收,14:21:22:533,,0x1ceb56f4,数据帧,扩展帧,08,03 00 00 1e 01 01 01 00 
7,接收,14:21:22:543,,0x1ceb56f4,数据帧,扩展帧,08,04 00 01 ff 00 00 00 00 
8,接收,14:21:22:553,,0x1ceb56f4,数据帧,扩展帧,08,05 00 00 00 00 00 00 00 
9,接收,14:21:22:563,,0x1ceb56f4,数据帧,扩展帧,08,06 00 00 00 00 00 00 ff 
10,接收,14:21:22:573,,0x1cecf456,数据帧,扩展帧,08,13 29 00 06 ff 00 02 00 
11,接收,14:21:22:763,,0x1cec56f4,数据帧,扩展帧,08,10 29 00 06 ff 00 02 00 
12,接收,14:21:22:763,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
13,接收,14:21:22:773,,0x1cecf456,数据帧,扩展帧,08,11 06 01 ff ff 00 02 00 
14,接收,14:21:22:773,,0x1ceb56f4,数据帧,扩展帧,08,01 00 01 00 06 a6 04 18 
15,接收,14:21:22:783,,0x1ceb56f4,数据帧,扩展帧,08,02 0c 4b 4c 49 45 01 00 
16,接收,14:21:22:793,,0x1ceb56f4,数据帧,扩展帧,08,03 00 00 1e 01 01 01 00 
17,接收,14:21:22:803,,0x1ceb56f4,数据帧,扩展帧,08,04 00 01 ff 00 00 00 00 
18,接收,14:21:22:813,,0x1ceb56f4,数据帧,扩展帧,08,05 00 00 00 00 00 00 00 
19,接收,14:21:22:823,,0x1ceb56f4,数据帧,扩展帧,08,06 00 00 00 00 00 00 ff 
20,接收,14:21:22:833,,0x1cecf456,数据帧,扩展帧,08,13 29 00 06 ff 00 02 00 
21,接收,14:21:23:013,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
22,接收,14:21:23:263,,0x1cec56f4,数据帧,扩展帧,08,10 0d 00 02 ff 00 06 00 
23,接收,14:21:23:263,,0x1801f456,数据帧,扩展帧,08,aa 00 00 00 00 00 00 00 
24,接收,14:21:23:273,,0x1cecf456,数据帧,扩展帧,08,11 02 01 ff ff 00 06 00 
25,接收,14:21:23:273,,0x1ceb56f4,数据帧,扩展帧,08,01 a2 01 b8 0b 6f 01 10 
26,接收,14:21:23:283,,0x1ceb56f4,数据帧,扩展帧,08,02 0e 64 4f 02 90 0c ff 
27,接收,14:21:23:293,,0x1cecf456,数据帧,扩展帧,08,13 0d 00 02 ff 00 06 00 
